InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,SourceYear,IsCancelled,Year,Month,YearMonth,DayOfWeek,Hour,Revenue
496642,16169N,WRAP BLUE RUSSIAN FOLKART,25,2010-02-03 11:50:00,0.42,15091.0,United Kingdom,2009-2010,False,2010,2,2010-02,Wednesday,11,10.5
537666,84683,CLASSICAL ROSE CANDLESTAND,1,2010-12-07 18:36:00,2.51,,United Kingdom,2009-2010,False,2010,12,2010-12,Tuesday,18,2.51
580730,23223,CHRISTMAS TREE HANGING SILVER ,2,2011-12-05 17:28:00,1.63,,United Kingdom,2010-2011,False,2011,12,2011-12,Monday,17,3.26
494228,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",12,2010-01-12 13:39:00,0.85,14861.0,United Kingdom,2009-2010,False,2010,1,2010-01,Tuesday,13,10.2
576841,21694,SMALL REGAL  SILVER CANDLEPOT ,4,2011-11-16 15:26:00,2.95,17368.0,United Kingdom,2010-2011,False,2011,11,2011-11,Wednesday,15,11.8
490284,22318,FIVE HEART HANGING DECORATION,1,2009-12-04 12:54:00,2.95,14979.0,United Kingdom,2009-2010,False,2009,12,2009-12,Friday,12,2.95
517154,22354,RETROSPOT PADDED SEAT CUSHION,10,2010-07-27 10:48:00,3.75,13722.0,United Kingdom,2009-2010,False,2010,7,2010-07,Tuesday,10,37.5
532307,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,2010-11-11 14:30:00,1.25,15916.0,United Kingdom,2009-2010,False,2010,11,2010-11,Thursday,14,7.5
551003,48138,DOORMAT UNION FLAG,1,2011-04-26 09:44:00,7.95,16456.0,United Kingdom,2010-2011,False,2011,4,2011-04,Tuesday,9,7.95
490074,84946,ANTIQUE SILVER TEA GLASS ETCHED,5,2009-12-03 14:39:00,2.57,,United Kingdom,2009-2010,False,2009,12,2009-12,Thursday,14,12.85
517981,22475,SKULL DESIGN TV DINNER TRAY,3,2010-08-03 14:52:00,11.02,,United Kingdom,2009-2010,False,2010,8,2010-08,Tuesday,14,33.06
579391,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2011-11-29 12:07:00,2.55,14251.0,United Kingdom,2010-2011,False,2011,11,2011-11,Tuesday,12,102.0
539337,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,6,2010-12-17 10:46:00,2.95,,EIRE,2010-2011,False,2010,12,2010-12,Friday,10,17.700000000000003
531558,82494L,WOODEN FRAME ANTIQUE WHITE ,24,2010-11-09 10:07:00,2.55,14258.0,United Kingdom,2009-2010,False,2010,11,2010-11,Tuesday,10,61.199999999999996
581219,22424,ENAMEL BREAD BIN CREAM,1,2011-12-08 09:28:00,24.96,,United Kingdom,2010-2011,False,2011,12,2011-12,Thursday,9,24.96
527965,85014B,RED RETROSPOT UMBRELLA,3,2010-10-20 09:46:00,5.95,17865.0,United Kingdom,2009-2010,False,2010,10,2010-10,Wednesday,9,17.85
494386,20689,RETRO SISTERS EXPRESSO CUPS,1,2010-01-14 09:41:00,5.06,,United Kingdom,2009-2010,False,2010,1,2010-01,Thursday,9,5.06
541424,22342,HOME GARLAND PAINTED ZINC ,2,2011-01-17 17:57:00,1.63,,United Kingdom,2010-2011,False,2011,1,2011-01,Monday,17,3.26
581382,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-12-08 12:57:00,2.95,13860.0,United Kingdom,2010-2011,False,2011,12,2011-12,Thursday,12,17.700000000000003
578347,21629,SQUARE FLOOR CUSHION VINTAGE RED,2,2011-11-24 09:26:00,15.79,,United Kingdom,2010-2011,False,2011,11,2011-11,Thursday,9,31.58
496166,22041,"RECORD FRAME 7"" SINGLE SIZE ",6,2010-01-29 11:42:00,2.55,13085.0,United Kingdom,2009-2010,False,2010,1,2010-01,Friday,11,15.299999999999999
538497,20727,LUNCH BAG  BLACK SKULL.,2,2010-12-12 12:44:00,1.65,14684.0,United Kingdom,2010-2011,False,2010,12,2010-12,Sunday,12,3.3
535662,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2010-11-28 11:37:00,4.95,16782.0,United Kingdom,2009-2010,False,2010,11,2010-11,Sunday,11,4.95
537240,21698,MOCK LOBSTER FRIDGE MAGNET,1,2010-12-06 10:08:00,1.66,,United Kingdom,2009-2010,False,2010,12,2010-12,Monday,10,1.66
504337,22544,MINI JIGSAW SPACEBOY,48,2010-04-12 16:41:00,0.42,16705.0,United Kingdom,2009-2010,False,2010,4,2010-04,Monday,16,20.16
493273,21893,POTTING SHED SEED TIN,2,2009-12-22 15:09:00,8.65,,United Kingdom,2009-2010,False,2009,12,2009-12,Tuesday,15,17.3
